id,i,name_tokens,ingredient_tokens,steps_tokens,techniques,calorie_level,ingredient_ids
38,16791,"[40480, 954, 4739, 6449, 1674, 4787, 10601, 40481]","[[12698, 11125], [4465, 29487, 6444], [15000, 27043], [13249, 7524]]","[40480, 40482, 8263, 280, 7420, 11125, 556, 6444, 40478, 40482, 851, 1229, 562, 11421, 1571, 240, 9822, 6641, 40478, 40482, 10553, 6449, 260, 6444, 9019, 485, 2044, 37453, 40478, 40482, 4846, 27043, 488, 4086, 1073, 3866, 40478, 40482, 9261, 822, 1614, 542, 2586, 40478, 40482, 8240, 666, 15473, 6847, 40478, 40482, 9233, 14917, 1073, 6195, 640, 4370, 568, 8077, 544, 2022, 40478, 40482, 10553, 485, 37453, 488, 12172, 1073, 3866, 833, 40478, 40482, 2294, 485, 6847, 488, 9233, 1073, 6195, 640, 4370, 40478, 40482, 10553, 485, 37453, 488, 12172, 1073, 3866, 833, 40478, 40482, 6748, 500, 5040, 280, 7420, 498, 12698, 11125, 40478, 40482, 8240, 666, 4438, 16382, 488, 9233, 10308, 40478, 40482, 851, 15799, 2314, 485, 4103, 40478, 40481]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",0,"[648, 3355, 7501, 4253]"
40,99809,"[40480, 1432, 17746, 40481]","[[6444], [30295, 240, 17, 686, 498], [3137, 1353], [3137, 13249, 7524], [755, 15684], [3382, 10166]]","[40480, 40482, 666, 246, 277, 660, 2212, 7932, 556, 2240, 8053, 3403, 240, 1072, 6444, 488, 13249, 15258, 240, 522, 36, 965, 40478, 40482, 4846, 277, 277, 278, 280, 7420, 963, 1845, 1353, 40478, 40482, 556, 3403, 9909, 4306, 240, 3033, 7932, 1073, 6444, 544, 13411, 40478, 40482, 4846, 13249, 7524, 40478, 40482, 8658, 746, 1073, 11998, 40478, 40482, 485, 4103, 271, 666, 1183, 6642, 260, 7835, 1846, 240, 715, 755, 22118, 240, 8240, 277, 278, 282, 3026, 498, 481, 13249, 17881, 40478, 40482, 674, 4846, 11998, 3382, 10166, 522, 240, 645, 512, 6469, 240, 1353, 40478, 40482, 9467, 485, 7087, 862, 40478, 40481]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,"[6906, 4303, 2919, 2832, 3829, 1567]"
45,84204,"[40480, 6796, 5940, 7056, 556, 32669, 5776, 32327, 19093, 40481]","[[6444], [7424, 745], [8441], [8441, 15953], [17918], [6953], [6796, 5940], [8439, 23935, 17169], [32669, 5776, 17169]]","[40480, 40482, 729, 2525, 10906, 485, 43, 28852, 250, 40478, 40482, 925, 7056, 19093, 240, 2506, 292, 3652, 7056, 6847, 240, 587, 595, 19007, 40478, 40482, 7087, 6444, 488, 7424, 745, 500, 11868, 5024, 1073, 16343, 40478, 40482, 2523, 500, 8441, 15953, 488, 8441, 40478, 40482, 9467, 500, 17918, 240, 6953, 240, 488, 6796, 5940, 1073, 862, 16343, 40478, 40482, 8240, 4858, 666, 3572, 19093, 240, 19007, 11083, 1571, 522, 1073, 2801, 2898, 13908, 1957, 2732, 2323, 551, 2698, 40478, 40482, 35009, 556, 21447, 7869, 488, 4103, 2107, 522, 11998, 40478, 40482, 23667, 8439, 17169, 240, 32669, 5776, 17169, 240, 488, 7424, 745, 500, 292, 522, 291, 3652, 7056, 6847, 240, 6981, 9019, 13241, 504, 2695, 488, 737, 498, 6847, 40478, 40482, 19007, 292, 485, 5895, 1571, 522, 1073, 2075, 498, 19093, 544, 4309, 903, 2324, 40478, 40482, 2548, 504, 6859, 8967, 40478, 40481]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,"[6906, 4574, 2499, 2509, 2683, 6270, 869, 3324, 3273]"
46,172842,"[40480, 246, 31704, 30710, 25199, 40481]","[[6878, 26285], [477, 869, 27, 14861], [548, 258, 643, 496, 268], [14524, 8152, 712, 1041], [497, 10343], [941, 265, 14903, 20563, 643, 496, 268]]","[40480, 40482, 8654, 481, 30710, 500, 1667, 2975, 477, 2903, 240, 674, 8654, 481, 3585, 485, 37634, 670, 531, 15442, 498, 531, 3652, 2377, 40478, 40482, 8654, 481, 7124, 498, 481, 955, 2763, 240, 7761, 551, 775, 3644, 14516, 488, 29649, 240, 674, 8654, 481, 955, 2763, 1223, 666, 2808, 9410, 40478, 40482, 8654, 481, 5541, 4183, 488, 1353, 10083, 7327, 40478, 40482, 23667, 488, 4103, 40478, 40482, 616, 812, 1178, 280, 522, 281, 2372, 500, 246, 9188, 40478, 40481]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,[6082]
49,61982,"[40480, 5867, 6285, 518, 892, 489, 5385, 40481]","[[3137, 19104], [8780], [31801, 918, 15509, 5867, 5355, 21940], [17918], [831, 37530], [5867, 24176], [6953], [593, 1648, 37151, 6821], [734, 744, 3707, 6821], [2056, 21453]]","[40480, 40482, 5539, 19104, 500, 280, 3, 21, 3696, 8780, 500, 246, 1719, 28058, 240, 9822, 6536, 240, 668, 1073, 4941, 40478, 40482, 6018, 617, 2525, 40478, 40482, 1233, 2913, 40478, 40482, 1892, 1183, 5867, 5355, 1444, 500, 1444, 2975, 477, 2903, 40478, 40482, 1082, 1183, 2399, 498, 5867, 1210, 867, 5458, 498, 10160, 2405, 40478, 40482, 31621, 485, 277, 278, 292, 244, 23171, 240, 2506, 246, 5089, 29969, 522, 3332, 7083, 40478, 40482, 37926, 5867, 3585, 500, 17918, 40478, 40482, 1082, 284, 522, 287, 3585, 498, 5867, 500, 277, 485, 280, 3, 21, 3696, 8780, 500, 246, 1719, 28058, 40478, 40482, 5539, 715, 11868, 2525, 281, 485, 282, 1571, 504, 1183, 737, 522, 1073, 3746, 40478, 40482, 1082, 5867, 500, 246, 4309, 35050, 16670, 34, 291, 244, 15473, 5465, 240, 30741, 6195, 40478, 40482, 7035, 12261, 556, 5040, 5867, 488, 8780, 40478, 40482, 13884, 6847, 1121, 14719, 500, 28058, 40478, 40482, 35009, 9072, 19104, 715, 5867, 40478, 40482, 4846, 3204, 488, 24176, 485, 28058, 40478, 40482, 2030, 485, 246, 14057, 40478, 40482, 18115, 2525, 240, 488, 32093, 240, 14917, 240, 5895, 1571, 240, 9822, 6641, 40478, 40482, 9467, 500, 6953, 488, 11332, 40478, 40482, 8240, 10734, 715, 5867, 40478, 40482, 23667, 36654, 488, 2056, 19414, 40478, 40482, 35009, 715, 5867, 40478, 40482, 19007, 14917, 491, 44, 8393, 562, 6642, 485, 7765, 1571, 40478, 40482, 903, 1107, 284, 277, 278, 280, 244, 841, 617, 2525, 277, 485, 280, 1571, 522, 1073, 903, 2324, 40478, 40481]","[1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,"[2847, 840, 1254, 2683, 4593, 1257, 6270, 4836, 5180, 6335]"
52,7897,"[40480, 10717, 37259, 40481]","[[4087, 2169], [6444], [3567, 4739, 2832, 5940, 4370], [4564, 17, 686]]","[40480, 40482, 9467, 16126, 1281, 40478, 40482, 4086, 500, 246, 37588, 1073, 23618, 40478, 40482, 1529, 280, 3, 21, 3696, 40478, 40482, 498, 9019, 562, 1183, 3026, 498, 1845, 1353, 40478, 40481]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,"[3869, 6906, 2427, 5068]"
53,83640,"[40480, 6128, 268, 252, 13179, 5409, 40481]","[[589, 260, 4001, 17918], [6444], [15473, 8361], [15473, 10166], [1643, 260, 16361, 29471, 484], [21570], [837, 7327], [30878], [21758], [1143, 7406], [32301, 10734], [6812], [4914, 6821, 23948]]","[40480, 40482, 14218, 488, 4309, 17918, 280, 53, 34, 277, 277, 278, 280, 260, 3652, 2738, 15473, 18845, 522, 14218, 566, 16670, 34, 53, 34, 280, 260, 3652, 15473, 6847, 40478, 40482, 1233, 6847, 2913, 40478, 40482, 500, 246, 1719, 13733, 5024, 23667, 17918, 240, 6444, 240, 15473, 8361, 240, 15473, 10166, 240, 488, 284, 16361, 29471, 484, 40478, 40482, 4846, 21570, 240, 6020, 240, 6812, 240, 21758, 40478, 40482, 2523, 556, 7641, 34062, 5802, 9126, 40478, 40482, 4846, 837, 7327, 240, 488, 1143, 7406, 488, 6748, 666, 22306, 40478, 40482, 8240, 22306, 666, 3572, 15473, 6847, 40478, 40482, 19007, 500, 246, 43, 8393, 283, 250, 10906, 562, 6828, 260, 14635, 1571, 562, 2738, 18845, 522, 14635, 260, 11083, 1571, 562, 16670, 34, 291, 260, 3652, 6847, 522, 1073, 246, 3602, 32461, 2323, 551, 2698, 40478, 40482, 2548, 8556, 8787, 504, 6859, 11444, 562, 5895, 1571, 40478, 40482, 6018, 617, 18845, 40478, 40482, 2548, 8400, 504, 6859, 11444, 40478, 40482, 522, 240, 1082, 16670, 34, 291, 260, 3652, 759, 500, 6847, 504, 246, 6859, 8967, 40478, 40482, 2548, 8400, 40478, 40482, 9379, 556, 4914, 6821, 23948, 40478, 40482, 2454, 488, 2961, 500, 9188, 40478, 40481]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,"[63, 6906, 332, 335, 2662, 1093, 7642, 5408, 1591, 5825, 170, 2499, 1910]"
58,13103,"[40480, 954, 4739, 19185, 11434, 17869, 11880, 40481]","[[11434, 1835, 2738], [17869, 6020], [6167, 20930, 510, 3674], [6953], [11332], [1011, 260, 485, 260, 4103, 11434, 24176], [19185, 3204], [15022], [1924, 21570], [4787, 1657, 8440, 21453], [9230, 789, 607], [4787, 6444, 5776, 22075]]","[40480, 40482, 13206, 4739, 617, 11434, 240, 1892, 666, 277, 260, 3652, 3585, 40478, 40482, 500, 19351, 10906, 240, 2525, 6020, 715, 11868, 1583, 5304, 1073, 1845, 40478, 40482, 4846, 11434, 488, 2507, 13241, 240, 9822, 6641, 40478, 40482, 8240, 811, 1121, 14719, 40478, 40482, 7033, 556, 20930, 510, 240, 6953, 488, 11332, 40478, 40482, 9467, 500, 24176, 240, 3204, 488, 15022, 40478, 40482, 2030, 485, 14057, 40478, 40482, 18115, 2525, 485, 954, 40478, 40482, 2454, 3689, 488, 32093, 277, 277, 278, 280, 1808, 40478, 40482, 4846, 21570, 488, 19414, 40478, 40482, 2454, 488, 3423, 6913, 14635, 485, 11083, 1571, 522, 1073, 11434, 488, 11488, 640, 4941, 40478, 40482, 2030, 11434, 11880, 485, 246, 14057, 715, 11868, 260, 1583, 2525, 40478, 40482, 4846, 9230, 789, 607, 9019, 40478, 40482, 5539, 488, 9467, 277, 2176, 40478, 40482, 9467, 500, 6444, 5776, 22075, 40478, 40482, 18115, 2525, 485, 11868, 488, 5539, 281, 485, 282, 1571, 522, 1073, 22075, 640, 6720, 822, 40478, 40481]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1,"[451, 7557, 2379, 6270, 5319, 437, 836, 3184, 269, 3113, 1833, 3094]"
59,60113,"[40480, 13308, 252, 12629, 1672, 4352, 4972, 40481]","[[4413, 39200, 3561], [8780], [15022, 8361], [529, 4511, 246, 6821], [734, 744, 3707, 6821], [6953], [19811], [10444, 6020], [3137, 20323, 3674]]","[40480, 40482, 1892, 39200, 3561, 666, 15786, 40478, 40482, 8780, 488, 674, 35009, 15022, 8361, 1183, 2399, 240, 488, 19007, 5802, 4309, 3746, 2507, 40478, 40482, 7087, 15022, 8361, 240, 734, 744, 3707, 6821, 240, 488, 6953, 500, 481, 529, 4511, 246, 6821, 240, 5802, 246, 4328, 16343, 3301, 40478, 40482, 10455, 19811, 500, 1220, 22118, 240, 4846, 10444, 6020, 240, 488, 1220, 14122, 498, 3137, 20323, 3674, 240, 1892, 666, 2808, 14122, 40478, 40482, 2933, 481, 529, 4511, 246, 9019, 240, 26023, 504, 481, 16000, 15022, 5339, 15786, 40478, 40482, 1495, 556, 16954, 9019, 488, 19007, 491, 43, 28852, 250, 562, 5895, 1571, 40478, 40482, 3545, 267, 40478, 40481]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,"[2716, 840, 3217, 6085, 5180, 6270, 7213, 5006, 2758]"
62,96738,"[40480, 1301, 16201, 8289, 488, 16954, 9540, 40481]","[[3137, 13249, 7524], [10444, 6020], [1301, 11007], [3137, 8289, 5000, 8608], [20815, 16954], [5703, 2825], [3137, 734, 5612, 3674], [25845, 8111], [8039, 23687, 3674]]","[40480, 40482, 500, 246, 5024, 29369, 1281, 13249, 7524, 240, 6020, 240, 488, 6953, 485, 3301, 40478, 40482, 9467, 500, 5040, 16126, 240, 2303, 23687, 3674, 240, 556, 6953, 488, 1301, 11332, 485, 3301, 40478, 40482, 851, 9540, 1229, 240, 9822, 1098, 522, 3519, 240, 7648, 1571, 562, 29433, 485, 12289, 40478, 40482, 1584, 280, 6786, 556, 23687, 488, 18830, 9540, 1210, 688, 40478, 40481]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1,"[2832, 5006, 553, 2786, 5519, 6335, 2857, 1118, 4308]"
